title,detail_title,job_url,company,company_name_full,company_url,company_url_from_job,salary_list,detail_salary,address_list,detail_location,exp_list,detail_experience,deadline,tags,working_addresses,working_times,desc_mota,desc_yeucau,desc_quyenloi,company_website,company_size,company_industry,company_address,company_description
[Urgent] - Senior Manual Tester/ QC (Up to 35 Million),[Urgent] - Senior Manual Tester/ QC (Up to 35 Million),https://www.vietnamworks.com/urgent-senior-manual-tester-qc-up-to-35-million-1951059-jv?utm_campaign_navi=1951059&utm_source_navi=specialOffers&utm_medium_navi=specialOffers,Emesoft,,,https://www.vietnamworks.com/nha-tuyen-dung/emesoft-c384850,Tới 35tr ₫/tháng,,Hồ Chí Minh,,,,,,,,"We are looking for a highly experienced and detail-oriented Senior or Lead Quality Control Engineer to oversee and ensure the delivery of high-quality software applications. The ideal candidate will play a key role in developing and executing quality control strategies, leading a team of QC engineers, and collaborating closely with product, development, and DevOps teams to uphold high standards of performance, functionality, and user experience. Your Role: - Lead and mentor a team of quality control/test engineers in day-to-day testing activities. - Define, implement, and continuously improve test strategies, standards, and processes. - Collaborate with cross-functional teams (Product, Development, DevOps) to understand requirements and ensure test coverage. - Create, review, and maintain test plans, test cases, and test scripts. - Drive the execution of system, regression, performance, and integration testing. - Ensure defects are accurately reported, tracked, and resolved in a timely manner. - Monitor and report on quality metrics, and drive actions to improve them. - Evaluate and adopt testing tools and technologies to improve test effectiveness and team productivity. - Coordinate with stakeholders during release planning, including risk assessment and go/no-go decisions. - Promote a quality-first mindset across the engineering organization.","Early onboarding preferred. Preferred age range: 25 to 35 years old. Education & Experience: - Bachelor’s or Master’s degree in Computer Science, Information Technology, or related field. - At least 4 - 7 years of experience in Software Quality Assurance/Testing, nice to have experience as Leader role. - Proven experience in testing web and/or mobile applications across various platforms. Technical Skills: - Strong knowledge of software QA methodologies, tools, and processes. - Experience with testing tools such as JIRA, AzureDevOps, Postman, JMeter, etc. - Proficient in writing SQL queries and testing APIs. - Familiarity with automation frameworks and CI/CD pipelines is a plus. - Experience working in Agile/Scrum environments. Soft Skills: - Strong analytical, problem-solving, and debugging skills. - Excellent communication and leadership abilities. - Ability to manage multiple priorities in a fast-paced environment. - Attention to detail and commitment to high quality. Why EmeSoft? - Receive your full salary during the probation period. - Enjoy a 13th-month salary as an annual bonus. - Benefit from annual salary reviews for potential increases. - Comprehensive insurance coverage in line with Vietnamese labor law, plus premium healthcare. - Company covers parking allowances. - Participate in exciting company outings, events, and team-building activities. - Thrive in an open, friendly, and professional work environment with a values-driven, agile culture. - Embark on an attractive career path with a strong focus on personal and professional development. - Take advantage of sponsorship for training courses and professional certifications. - Maintain a healthy work-life balance with a 40-hour work week, Monday through Friday. Don’t wait – your future starts today!","Thưởng Lương tháng 13, Thưởng doanh thu, Thưởng cá nhân, Thưởng đội nhóm Chăm sóc sức khoẻ Khám sức khỏe hàng năm, Bảo hiểm Premium Nghỉ phép có lương 12 ngày phép năm, 3 ngày nghỉ ốm",,,,,
Chuyên Viên Phát Triển Phần Mềm (R_IT2508),Chuyên Viên Phát Triển Phần Mềm (R_IT2508),https://www.vietnamworks.com/chuyen-vien-phat-trien-phan-mem-r-it2508-1939805-jv?utm_campaign_navi=relevantJobs&utm_source_navi=specialOffers&utm_medium_navi=specialOffers,Công Ty Ô Tô Toyota Việt Nam,,,https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-o-to-toyota-viet-nam-c513,Thương lượng,,"Hà Nội, Vĩnh Phúc, Bình Dương",,,,,,,,"- Tham gia phát triển các phần mềm ứng dụng nhằm hỗ trợ nhu cầu hoạt động hệ thống của công ty - Nghiên cứu và làm rõ chi tiết các yêu cầu về hệ thống của người dùng - Thiết lập các kịch bản test (Test script), và thực hiện test cho hệ thống phần mềm - Quản lý, bảo trì / vận hành hệ thống phần mềm hiện tại - Lên kế hoạch phát triển và quản lý tiến độ các dự án phát triển phần mềm - Hỗ trợ và hướng dẫn các thành viên khác trong đội dự án phát triển phần mềm - Nghiên cứu và ứng dụng công nghệ mới nếu có - Kiểm tra chất lượng và quy trình của dự án nhằm đảm bảo các tiêu chí đặt ra - Thực hiện các module nghiệp vụ chính và review để đảm bảo chất lượng - Hỗ trợ trưởng phòng IT trong các lĩnh vực kỹ thuật liên quan.","1. Trình độ học vấn: 1.1. Yêu cầu chung: - Core job: Đại học hoặc tương đương từ loại Khá trở lên - Non-cre job: Cao đẳng/Cấp hai hoặc tương đương từ loại Khá trở lên - Điểm trung bình tích lũy (GPA) từ 6.5 theo thang điểm 10 hoặc 2.25 theo thang điểm 4 1.2. Yêu cầu khác từ bộ phận: - Tốt nghiệp đại học chuyên ngành công nghệ thông tin - Có ít nhất 7 năm kinh nghiệm các dự án .NET: .NET, ASP.NET, .NET core. - Có kinh nghiệm về WebAPI (restful API). - Các công nghệ tương tác dữ liệu nâng cao: ADO.NET, SQL Server, Entity Framework. - Hiểu sâu và có khả năng ứng dụng các nguyên tắc và phương thức thiết kê phân mêm - Có kinh nghiệm với Git và các phần mềm quản lý version (SVN, TFS, Bitbucket …) - Có kinh nghiệm làm việc trong môi trường phát triển phần mềm theo hướng Agile/Scrums - Có ít nhất 5 năm kinh nghiệm về các giải pháp công nghệ, phát triển, kiến trúc, công nghệ hạ tầng/cloud. - Có ít nhất 5 năm kinh nghiệm kiến trúc giải pháp tập trung vào cơ sở dữ liệu 2. Kỹ năng: 2.1. Yêu cầu chung: - Sử dụng thành thạo máy tính và các phần mềm văn phòng (Word, Excel, Power Point, Access…) 2.2. Yêu cầu khác từ bộ phận: - Có ít nhất 3 năm kinh nghiệm phát triển iOS - Hiểu kiến trúc MVP, MVVM - Có kinh nghiệm về vẽ biểu đồ, xuất PDF. - Hiểu về việc gọi API, các dịch vụ web. - Có kiến thức về các loại cơ sở dữ liệu, CoreData, Realm… 3. Ngoại ngữ: - Thành thạo các kỹ năng nghe, nói, đọc, viết tiếng Anh - Có khả năng sử dụng tiếng Anh chuyên ngành và giao tiếp trong công việc 4. Phẩm chất & tính cách: - Chăm chỉ, cẩn thận, chịu được áp lực công việc - Sẵn sàng làm thêm giờ, đi công tác xa khi cần thiết - Cẩn thận, trung thực, năng động và có tinh thần trách nhiệm với công việc Quyền lợi: • Thu nhập hấp dẫn • Ngày làm việc: 5 ngày/tuần từ 7:30-16:35 (Nghỉ thứ 7 & Chủ nhật) • Các chế độ bảo hiểm & phúc lợi khác: Bằng hoặc tốt hơn quy định của Pháp luật • Địa điểm làm việc: Hà Nội, Vĩnh Phúc, Bình Dương Link ứng tuyển: https://forms.office.com/r/VX1PJRxu88",Thưởng Mức lương cạnh tranh so với mức lương trung bình trên thị trường Nghỉ phép có lương Các chế độ bảo hiểm & phúc lợi khác: Bằng hoặc tốt hơn quy định của Pháp luật. Khác Nghỉ Thứ 7 và Chủ Nhật,,,,,
"Middle/ Senior Fullstack (Java, Python & Frontend)","Middle/ Senior Fullstack (Java, Python & Frontend)",https://www.vietnamworks.com/middle-senior-fullstack-java-python-frontend-1947628-jv?utm_campaign_navi=relevantJobs&utm_source_navi=specialOffers&utm_medium_navi=specialOffers,Công Ty Cổ Phần Rikkeisoft,,,https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-co-phan-rikkeisoft-c140576,Thương lượng,,Hà Nội,,,,,,,,"◦ Phát triển và duy trì các ứng dụng web với kiến trúc fullstack, sử dụng Java hoặc Python cho backend và các framework hiện đại cho frontend. ◦ Thiết kế và xây dựng các RESTful API để giao tiếp giữa các dịch vụ. ◦ Xây dựng giao diện người dùng động và phản hồi tốt bằng các framework như ReactJS, Angular hoặc VueJS. ◦ Quản lý cơ sở dữ liệu quan hệ và/hoặc NoSQL (MySQL, PostgreSQL, MongoDB, Redis). ◦ Đóng gói ứng dụng bằng Docker để đảm bảo môi trường phát triển và triển khai nhất quán. ◦ Thiết lập và giám sát tình trạng hệ thống bằng các công cụ logging và alerting hiện đại. ◦ Làm việc trong môi trường Agile/Scrum với các công cụ quản lý dự án như JIRA. ◦ Phối hợp chặt chẽ với các team khác (BA, QA, DevOps, khách hàng...) để đảm bảo chất lượng và tiến độ sản phẩm.","◦ Tốt nghiệp Đại học, cao đẳng, trung cấp chuyên nghành Công nghệ thông tin, hoặc các chuyên ngành liên quan (đã có bằng tốt nghiệp) ◦ Chấp nhận ứng viên không tốt nghiệp đúng chuyên ngành công nghệ thông tin hoặc các chuyên ngành liên quan nhưng đã có kinh nghiệm làm việc thực tế: tối thiểu 7 năm kinh nghiệm trở lên ◦ Có từ 3–6 năm kinh nghiệm phát triển phần mềm, trong đó ít nhất 2 năm kinh nghiệm với Java hoặc Python. ◦ Thành thạo một trong các kết hợp công nghệ sau: + Java (Spring Boot, v.v) + Front◦ end (ReactJS / Angular / Vue) + Java + Python (Flask / FastAPI / Django) + Python + Front◦ end (ReactJS / Angular / Vue) ◦ Hiểu rõ về RESTful API, kiến trúc microservices, authentication/authorization. ◦ Có kinh nghiệm làm việc với cơ sở dữ liệu quan hệ (MySQL, PostgreSQL) và/hoặc NoSQL (MongoDB, Redis). ◦ Có kỹ năng viết unit test, sử dụng Git, CI/CD. ◦ Kỹ năng giao tiếp và làm việc nhóm tốt. Điểm cộng: ◦ Có kinh nghiệm làm việc trong các dự án outsource hoặc khách hàng Hàn Quốc. ◦ Sẵn sàng onsite ◦ Kỹ năng làm việc nhóm tốt, chủ động và tinh thần trách nhiệm cao. ◦ Ưu tiên ứng viên có khả năng giao tiếp tiếng Anh cơ bản trở lên. Quyền Lợi ◦ Mức lương: Thỏa thuận theo năng lực khi phỏng vấn. ◦ Chế độ phúc lợi: ◦ Lương tháng 13+ và xét tăng lương 2 lần/năm. Thưởng theo dự án, thưởng lễ/tết, thưởng giới thiệu nhân sự, thưởng hiệu quả công việc... ◦ Phụ cấp thâm niên từ 2 năm làm việc. ◦ Tham gia các hoạt động đào tạo nội bộ và bên ngoài, phát triển lộ trình nghề nghiệp rõ ràng. ◦ Nghỉ thứ 7, Chủ nhật và 12 ngày phép/năm. ◦ Tham gia các câu lạc bộ thể thao – văn hóa – nghệ thuật do công ty tài trợ (bóng đá, cầu lông, bơi lội, âm nhạc, game, tiếng Anh…). ◦ Chăm sóc sức khỏe: Khám sức khỏe định kỳ, bảo hiểm sức khỏe chất lượng cao Rikkei Care. ◦ Văn hoá thoải mái: Âm nhạc hàng ngày, trái cây tươi, team building thường xuyên, du lịch trong và ngoài nước.","Thưởng Package: at least 13 months/ year. Review twice per year. Chăm sóc sức khoẻ Participate in learning and training activities inside and outside the company, accumulate learning points, develop G◦ Points on the company's management system. Khác Ensure health: Periodic health check, support to buy high quality health insurance...",,,,,
"[Sign-On Bonus] .NET Backend Technical Lead, Storefront Ecommerce Platform (Total Annual Compensation $85,000)","[Sign-On Bonus] .NET Backend Technical Lead, Storefront Ecommerce Platform (Total Annual Compensation $85,000)",https://www.vietnamworks.com/sign-on-bonus-net-backend-technical-lead-storefront-ecommerce-platform-total-annual-compensation-dollar85000-1953852-jv?utm_campaign_navi=relevantJobs&utm_source_navi=specialOffers&utm_medium_navi=specialOffers,Crossian Việt Nam,,,https://www.vietnamworks.com/nha-tuyen-dung/crossian-viet-nam-c305688,"Tới $ 85,000 /năm",,"Hồ Chí Minh, Hà Nội",,,,,,,,"ABOUT THE ROLE Join our Technology Innovations Center of Excellence (CoE) at Crossian , a fast-growing startup that achieved a milestone of $100M in 2024 . In this dynamic role, you'll check in daily with your team to stay aligned on project goals and collaborate across our ecosystem with an Agile mindset infused with a unicorn-worthy startup culture. We are building a cutting-edge Global eCommerce Platform , offering end-to-end solutions for: • Storefront : Designing customizable and scalable online store systems that provide seamless shopping experiences and support dynamic business growth. • Ads Manager : Integrating and optimizing advertising tools across platforms like Facebook, Google and more, enabling businesses to launch, track, and analyze marketing campaigns efficiently. • Marketing Insights & CRM : Turning raw data from marketing campaigns, transactions, and user behavior into actionable insights to enhance customer engagement and drive smarter decision-making. WHAT YOU WILL DO System Design & Architecture: • Design and implement data flow based on Microservices in a Cloud-Native environment, ensuring scalability and stability. • Evaluate and select suitable technologies (frameworks, tools, platforms). • Write and review technical specifications to ensure clarity, feasibility, and alignment with architectural principles and stakeholder expectations. System Deployment & Maintenance: • Manage system deployment on AWS EKS/Kubernetes with Docker and integrate CI/CD pipelines. • Monitor and optimize system performance, addressing any issues as they arise. Development & Code Review: • Write clean, scalable, and maintainable code using .NET Core and adhere to Clean Code and SOLID principles. • Review and approve team members' code quality, ensuring compliance with technical standards. • Mentor, support, and train team members to achieve high performance in their roles. Project Management: • Collaborate with Product Owners and stakeholders to analyze requirements, plan and manage project timelines. • Oversee the software development process following Agile/Scrum methodologies. Team Collaboration & Support: • Work closely with other teams such as Frontend, QA, and DevOps to ensure product quality. • Provide technical support and advice for complex issues. WHAT YOU CAN EXPECT We’re not just about building platforms; we’re about creating a workplace where talent thrives. Here's what you’ll gain: Exceptional Compensation • Up to 30 months of salary per year through competitive salary packages and performance-based bonuses. • Total annual compensation $85,000, reflecting your expertise and contribution. • Full salary during probation & Guaranteed 13th month salary • 12 days work-from-home & 12 days of paid annual leave, plus seniority paid leave • Global health insurance package for yourself and direct family members, plus annual health checkup Growth Opportunities • Hands-on exposure to cutting-edge technologies and complex system architecture in a global-scale project. • Clear career advancement pathways and access to continuous professional development programs. Global Vision • Contribute to projects that redefine how brands connect with consumers globally. • Opportunity to work on challenging problems in data analytics, customer engagement, and operational efficiency. In addition to development tasks, you’ll collaborate closely with other CoEs to understand their unique challenges. With your technical expertise, you’ll continuously propose innovative solutions to elevate their performance and contribute to the overall success of the organization.","WHAT WE ARE LOOKING FOR Education : Bachelor’s degree in Information Technology, Computer Science, or related fields. Experience : • At least 7 years of software development experience, with a minimum of 3 years in a Technical Lead or Senior Developer role. • Proficient in backend technologies: C#, .NET Core, ASP.NET Core, Entity Framework Core, LINQ. • Hands-on experience in system design with Microservices and Cloud-Native Computing. • Deep understanding of Relational database modeling & design with Postgres/MSSQL • Preferred experience with Docker, Kubernetes, and knowledge of Event-driven Architecture. • English proficiency (both written and verbal). Soft Skills : • Strong problem-solving skills. • Excellent communication • Familiarity with Agile/Scrum Preferred Skills (but not required): • Document DB modeling & design with Elasticsearch • Object Storages with AWS S3 Message Queues with KAFKA & Message Queue • Messaging with Sendgrid, Twilio, AWS SNS,… Having experience in Cloud Native Computing • DevOps, SysOps in AWS and Git CI/CD experience • Experience with React.js, Vue.js, or Node.js.","Thưởng Sign-on bonus may be considered and applied if you join us before November 30th Chăm sóc sức khoẻ Global health insurance package for yourself and direct family members, plus annual health checkup Nghỉ phép có lương 12 days of paid annual leave, plus seniority paid leave Xem thêm",,,,,
".NET Backend Technical Lead, Supply Chain Management System (Up to 30 Months of Salary Per Year, Total Annual Compensation Over $70,000)",".NET Backend Technical Lead, Supply Chain Management System (Up to 30 Months of Salary Per Year, Total Annual Compensation Over $70,000)",https://www.vietnamworks.com/-net-backend-technical-lead-supply-chain-management-system-up-to-30-months-of-salary-per-year-total-annual-compensation-over-dollar70000-1953851-jv?utm_campaign_navi=relevantJobs&utm_source_navi=specialOffers&utm_medium_navi=specialOffers,Crossian Việt Nam,,,https://www.vietnamworks.com/nha-tuyen-dung/crossian-viet-nam-c305688,"Tới $ 70,000 /năm",,Hà Nội,,,,,,,,"ABOUT THE ROLE Crossian is a high-growth technology-driven e-commerce business. Behind our success is our people. As a start-up formed in 2020, we have created a fast-paced and dynamic environment, enabling our people to reach $100 million of revenue in 2024, a cumulative average growth rate of over 1000% in the last 3 years. Our mission now is to harness the power of technology to develop a direct-to-consumer approach and enhance customer lifetime value. As part of Technology Innovations Department, you'll work in a Agile, and tech-startup environment inspired by Unicorn worthy culture. We are developing a comprehensive and sophisticated Global eCommerce Platform specializing in Supply Chain Management, with a focus on Inventory Management, Manufacturing Management, and Order Fulfillment. Our system currently supports approximately > 100K product variants . Our solutions include : - Advanced inventory management to ensure accurate stock levels and streamline operations, including a feature that suggests restocking orders when certain variants are low in stock, considering upcoming sales plans. - Manufacturing management tools to optimize production schedules and reduce overhead. - End-to-end order fulfillment capabilities to manage shipping, tracking, and delivery efficiently. WHAT YOU WILL DO *Development & Deployment - Develop clean, scalable code using .NET Core in Micro-service Architecture & Cloud-native. - Develop backend Data-storage & Data-flows with Postgres, ES, Kafka, and various Cloud data toolsets. - Test and deploy system (micro-)services & (micro-)apps on AWS - EKS/Kubernetes with Docker toolset. *Project Management: - Develop and maintain comprehensive documentation throughout the software development lifecycle (SDLC). - Actively participate in defining technical specifications within the Agile/Scrum development process. - Support Product Owner in planning and prioritize backend tasks to ensure timely delivery of project milestones and objectives. *System Architecture: - Lead the design and evolution of backend architecture to support current and future business needs. - Evaluate and integrate new technologies, tools, and frameworks to improve system performance and developer efficiency. - Participate in reviewing architectures with Team Leads & SAs. *Code Review & Team Coaching: - Provide technical direction, mentorship, and code reviews for the backend team. - Coach team to ensure compliance with best practices and high quality coding standards.","WHAT WE ARE LOOKING FOR *Educational Background: Bachelor’s degree in computer programming, computer science, or a related field *Experience - At least 7+ years of professional development experience. - A minimum of 1 year of hands-on experience with Cloud Native -Computing using platforms such as AWS, GCP, or Azure. - At least 2 years of experience leading a team. - Proven track record of working in a product-focused company for at least the last 2 consecutive years. *Technical Skills: - Expert in C#, .NET, .NET Core, ASP.NET Core, Entity Framework Core, LINQ - Expert in Relational database modeling & design with Postgres Deep understanding of computer architectures, data structures and algorithms, SOLID principles - Proficient knowledge of Microservices, Clean-code - Understanding of Agile/Scrum methodologies *Soft Skills: - Good communication skills. - Strong problem-solving skills with a Value-Driven mindset. * English skill : TOEIC >= 750 or IELTS >= 6.0 (Reading & Writing) * Preferred (but not required) - Document DB modeling & design with Elasticsearch - DevOps, SysOps in AWS and Git CI/CD experience - Object Storages with AWS S3 - Message Queues with KAFKA & Message Queue - Messaging with Sendgrid, Twilio, AWS SNS,… - e-Commerce Experience (Inventory or Warehouse Management) WHAT YOU CAN EXPECT We’re not just about building platforms; we’re about creating a workplace where talent thrives. Here's what you’ll gain: Exceptional Compensation - Up to 30 months of salary per year through competitive salary packages and performance-based bonuses. - Total annual compensation over $75,000, reflecting your expertise and contribution. Growth Opportunities - Hands-on exposure to cutting-edge technologies and complex system architecture in a global-scale project. - Clear career advancement pathways and access to continuous professional development programs. Global Vision - Contribute to projects that redefine how brands connect with consumers globally. - Opportunity to work on challenging problems in data analytics, customer engagement, and operational efficiency","Thưởng Up to 30 months of salary per year through competitive salary packages and performance-based bonuses. Chăm sóc sức khoẻ Global health insurance package for yourself and direct family members, plus annual health checkup. Nghỉ phép có lương 12 days of paid annual leave, plus seniority paid leave. Xem thêm",,,,,
